ID	Label EN	Annotation	TYPE	Parent Class
ID	A rdfs:label	A PROMOT:1000001 SPLIT=|	TYPE	SC % SPLIT=|
HP:0000508	Ptosis			(PROMOT:2000005 some http://id.who.int/icd/entity/2021370201)|(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)
HP:0007838	Progressive ptosis			(PROMOT:2000005 some http://id.who.int/icd/entity/2021370201)|(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)
HP:0000597	Ophthalmoparesis			(PROMOT:2000005 some http://id.who.int/icd/entity/1090716697)|(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)
HP:0000602	Ophthalmoplegia			(PROMOT:2000005 some http://id.who.int/icd/entity/1090716697)|(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)
HP:0000544	External ophthalmoplegia			(PROMOT:2000005 some http://id.who.int/icd/entity/1090716697)|(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)
HP:0007941	Limited extraocular movements			(PROMOT:2000005 some http://id.who.int/icd/entity/1090716697)|(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)
HP:0002141	Gait imbalance			(PROMOT:2000005 some http://id.who.int/icd/entity/1831985718)|(PROMOT:2000005 some http://id.who.int/icd/entity/576915490)|(PROMOT:2000005 some http://id.who.int/icd/entity/1550548595)|(PROMOT:2000005 some http://id.who.int/icd/entity/409094401)
HP:0012531	Pain			(PROMOT:2000005 some http://id.who.int/icd/entity/893697482)|(PROMOT:2000005 some http://id.who.int/icd/entity/299098423)|(PROMOT:2000005 some http://id.who.int/icd/entity/117147127)|(PROMOT:2000005 some http://id.who.int/icd/entity/1065560247)|(PROMOT:2000005 some http://id.who.int/icd/entity/682314871)|(PROMOT:2000005 some http://id.who.int/icd/entity/1299345975)|(PROMOT:2000005 some http://id.who.int/icd/entity/1515853559)|(PROMOT:2000005 some http://id.who.int/icd/entity/454325322)
HP:0003326	Myalgia			(PROMOT:2000005 some http://id.who.int/icd/entity/893697482)|(PROMOT:2000005 some http://id.who.int/icd/entity/299098423)|(PROMOT:2000005 some http://id.who.int/icd/entity/117147127)|(PROMOT:2000005 some http://id.who.int/icd/entity/1065560247)|(PROMOT:2000005 some http://id.who.int/icd/entity/682314871)|(PROMOT:2000005 some http://id.who.int/icd/entity/1299345975)|(PROMOT:2000005 some http://id.who.int/icd/entity/1515853559)
HP:0032043	Odynophagia			(PROMOT:2000005 some http://id.who.int/icd/entity/299098423)|(PROMOT:2000005 some http://id.who.int/icd/entity/923782542)|(PROMOT:2000005 some http://id.who.int/icd/entity/1328675264)|(PROMOT:2000005 some http://id.who.int/icd/entity/553784299)
HP:0001618	Dysphonia			(PROMOT:2000005 some http://id.who.int/icd/entity/712570723)|(PROMOT:2000005 some http://id.who.int/icd/entity/2069371821)|(PROMOT:2000005 some http://id.who.int/icd/entity/1109440237)|(PROMOT:2000005 some http://id.who.int/icd/entity/1426641453)|(PROMOT:2000005 some http://id.who.int/icd/entity/1034220517)|(PROMOT:2000005 some http://id.who.int/icd/entity/151046878)
HP:0001609	Hoarse voice			(PROMOT:2000005 some http://id.who.int/icd/entity/712570723)
HP:6001011	Wet voice			(PROMOT:2000005 some http://id.who.int/icd/entity/1846694084)|(PROMOT:2000005 some http://id.who.int/icd/entity/151046878)
HP:0001611	Hypernasal speech			(PROMOT:2000005 some http://id.who.int/icd/entity/1846694084)|(PROMOT:2000005 some http://id.who.int/icd/entity/151046878)
HP:0001260	Dysarthria			(PROMOT:2000005 some http://id.who.int/icd/entity/1919311435)|(PROMOT:2000005 some http://id.who.int/icd/entity/151046878)
HP:0001612	Weak cry			(PROMOT:2000005 some http://id.who.int/icd/entity/1034220517)
HP:0002098	Respiratory distress			(PROMOT:2000005 some http://id.who.int/icd/entity/446199613)|(PROMOT:2000005 some http://id.who.int/icd/entity/1360101629)
HP:0002094	Dyspnea			(PROMOT:2000005 some http://id.who.int/icd/entity/446199613)|(PROMOT:2000005 some http://id.who.int/icd/entity/1360101629)
HP:0002747	Respiratory insufficiency due to muscle weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/446199613)|(PROMOT:2000005 some http://id.who.int/icd/entity/1360101629)
HP:0002093	Respiratory insufficiency			(PROMOT:2000005 some http://id.who.int/icd/entity/446199613)|(PROMOT:2000005 some http://id.who.int/icd/entity/1360101629)
