ID	Label FR	Label ES	Comment
http://id.who.int/icd/entity/555410497	Marcher sur de courtes distances	Andar distancias cortas	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/556694745	Puissance des muscles du tronc	Fuerza de los músculos del tronco	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/562968787	non précisée	no especificado [possible translation]	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/567313968	Fonctions organiques	Funciones corporales	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/576915490	Fonctions relatives aux réactions motrices involontaires	Funciones relacionadas con los reflejos de movimiento involuntario	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/577558794	Douleur dans une partie du corps	Dolor en una parte del cuerpo	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/58064740	Muscles du tronc	Músculos del tronco	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/591104711	Performance		Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/600441798	Déficience LÉGÈRE (légère, faible, ...) 5-24%		Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/627064928	Fonctions liées au mouvement	Funciones relacionadas con el movimiento	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/640373779	Structure du bras	Estructura del brazo	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/644658903	Structures liées au mouvement	Capítulo 7 estructuras relacionadas con el movimiento	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/682314871	Douleur dans le dos	Dolor en la espalda	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/68679181	Vestibule	Laberinto vestibular	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
