defined_class	source	function	activity
HP:0003593	CMS HPO DB associations		
HP:0003577	CMS HPO DB associations		
HP:0003623	CMS HPO DB associations		
HP:0011463	CMS HPO DB associations		
HP:0003621	CMS HPO DB associations		
HP:0002828	CM Scoping review		
HP:0012768	CM Scoping review		
HP:0002483	CM Scoping review		
HP:0025156	CM Scoping review		http://id.who.int/icd/entity/1328675264
HP:0025156			http://id.who.int/icd/entity/553784299
HP:0033994	CM Scoping review		http://id.who.int/icd/entity/1328675264
HP:0033994			http://id.who.int/icd/entity/553784299
HP:0030884	CM Scoping review		http://id.who.int/icd/entity/1328675264
HP:0030884			http://id.who.int/icd/entity/553784299
HP:0040288	CM Scoping review		http://id.who.int/icd/entity/1328675264
HP:0040288			http://id.who.int/icd/entity/553784299
HP:0031063	CM Scoping review		http://id.who.int/icd/entity/1328675264
HP:0031063			http://id.who.int/icd/entity/553784299
HP:0033454	CM Scoping review		http://id.who.int/icd/entity/1328675264
HP:0033454			http://id.who.int/icd/entity/553784299
HP:0011471	CM Scoping review		http://id.who.int/icd/entity/1328675264
HP:0011471			http://id.who.int/icd/entity/553784299
HP:0011470	CM Scoping review		http://id.who.int/icd/entity/1328675264
HP:0011470			http://id.who.int/icd/entity/553784299
HP:0001627	CM Scoping review		
HP:0030872	CM Scoping review		
HP:0001713	CM Scoping review		
HP:0001638	CM Scoping review		
HP:0005216	CM Scoping review		
HP:0030193	CM Scoping review		
HP:0001374	CM Scoping review		
HP:0001270	CM Scoping review		
HP:0031936	CM Scoping review		
HP:0002015	CM Scoping review		
HP:0002068	CM Scoping review		
HP:0200136	CM Scoping review		
HP:0001618	CM Scoping review		
HP:0001609	CM Scoping review		
HP:0000276	CM Scoping review		
HP:0011968	CM Scoping review		
HP:0008872	CM Scoping review		
HP:0001508	CM Scoping review		
HP:0001531	CM Scoping review		
HP:0002033	CM Scoping review		
HP:0031914	CM Scoping review		
HP:0003323	CM Scoping review		
HP:0001288	CM Scoping review		
HP:0002515	CM Scoping review		
HP:0002359	CM Scoping review		
HP:0002540	CM Scoping review		
HP:0009046	CM Scoping review		
HP:0002505	CM Scoping review		
HP:0003473	CM Scoping review		
HP:0030196	CM Scoping review		
HP:0030198	CM Scoping review		
HP:0030199	CM Scoping review		
HP:0030200	CM Scoping review		
HP:0030192	CM Scoping review		
HP:0030194	CM Scoping review		
HP:0030195	CM Scoping review		
HP:0030197	CM Scoping review		
HP:0003391	CM Scoping review		
HP:0000218	CM Scoping review		
HP:0002705	CM Scoping review		
HP:0003307	CM Scoping review		
HP:0001252	CM Scoping review		
HP:0001319	CM Scoping review		
HP:0002047	CM Scoping review	http://id.who.int/icd/entity/2090906765	
HP:0001324	CM Scoping review		
HP:0000467	CM Scoping review		
HP:0030319	CM Scoping review		
HP:0007715	CM Scoping review		
HP:0000597	CM Scoping review		
HP:0003327	CM Scoping review		
HP:0004878	CM Scoping review		
HP:0009023	CM Scoping review		
HP:0003722	CM Scoping review		
HP:0003690	CM Scoping review		
HP:0009053	CM Scoping review		
HP:0008959	CM Scoping review		
HP:0007340	CM Scoping review		
HP:0003484	CM Scoping review		
HP:0003325	CM Scoping review		
HP:0003701	CM Scoping review		
HP:0002460	CM Scoping review		
HP:0009028	CM Scoping review		
HP:0011727	CM Scoping review		
HP:0030237	CM Scoping review		
HP:0009063	CM Scoping review		
HP:0009073	CM Scoping review		
HP:0008963	CM Scoping review		
HP:0003427	CM Scoping review		
HP:0008994	CM Scoping review		
HP:0003749	CM Scoping review		
HP:0003392	CM Scoping review		
HP:0003731	CM Scoping review		
HP:0003694	CM Scoping review		
HP:0003810	CM Scoping review		
HP:0008997	CM Scoping review		
HP:0003547	CM Scoping review		
HP:0009005	CM Scoping review		
HP:0033416	CM Scoping review		
HP:0012515	CM Scoping review		
HP:0009027	CM Scoping review		
HP:0031108	CM Scoping review		
HP:0031374	CM Scoping review		
HP:0031177	CM Scoping review		
HP:0009077	CM Scoping review		
HP:0002058	CM Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0000602	CM Scoping review		
HP:0000544	CM Scoping review		
HP:0000496	CM Scoping review		
HP:0007941	CM Scoping review		
HP:0001761	CM Scoping review	http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/2048203604
HP:0000768	CM Scoping review		
HP:0000767	CM Scoping review		
HP:0001622	CM Scoping review		
HP:0000508	CM Scoping review		
HP:0001558	CM Scoping review		
HP:0001989	CM Scoping review		
HP:0001284	CM Scoping review		
HP:0001265	CM Scoping review		
HP:0002600	CM Scoping review		
HP:0002522	CM Scoping review		
HP:0001315	CM Scoping review		
HP:0031826	CM Scoping review		
HP:0004347	CM Scoping review		
HP:0002104	CM Scoping review		
HP:0002098	CM Scoping review		
HP:0002878	CM Scoping review		
HP:0004887	CM Scoping review		
HP:0004885	CM Scoping review		
HP:0002643	CM Scoping review		
HP:0004889	CM Scoping review		
HP:0005949	CM Scoping review		
HP:0002093	CM Scoping review		
HP:0002747	CM Scoping review		
HP:0032341	CM Scoping review		
HP:0003306	CM Scoping review	http://id.who.int/icd/entity/248265067	
HP:0003306		http://id.who.int/icd/entity/841397411	
HP:0002650	CM Scoping review		
HP:0002751	CM Scoping review		
HP:6000327	CM Scoping review		
HP:0001547	CM Scoping review		
HP:0000886	CM Scoping review		
HP:0003691	CM Scoping review		
HP:0000774	CM Scoping review		
HP:0002808	CM Scoping review		
HP:0000028	CM Scoping review	http://id.who.int/icd/entity/859818654	
HP:0030000	CM Scoping review		
HP:0003398	CM Scoping review		
HP:0003458	CM Scoping review		
HP:0003445	CM Scoping review		
HP:0003403	CM Scoping review		
HP:0003236	CM Scoping review		
HP:0008180	CM Scoping review		
HP:0040081	CM Scoping review		
HP:0002483	CM HPO KB associations		
HP:0002460	CM HPO KB associations		
HP:0003749	CM HPO KB associations		
